model_name,accuracy,precision,recall,f1,roc_auc,roc_auc_std,cv_time_seconds
logistic_regression,0.8379251700680272,0.823922273922274,0.9082621082621083,0.8607171305284511,0.9149184149184147,0.03700535028635089,4.3373208999983035
svm,0.8545918367346939,0.8372249972249973,0.9156695156695157,0.8733086272379019,0.9121600621600621,0.042503860102282916,3.6567566000157967
random_forest,0.8422619047619048,0.8417209227554056,0.8851851851851853,0.8595106164253169,0.9055102305102306,0.04948778699609556,3.9987423999991734
naive_bayes,0.8213435374149659,0.825998075998076,0.87008547008547,0.8422826356484301,0.897163947163947,0.04332599808708786,0.09471689999918453
xgboost,0.8005952380952381,0.8175559947299078,0.8236467236467236,0.8163545425306609,0.8936544936544937,0.032340530696539374,2.3902306999953
lightgbm,0.8005952380952381,0.8140464374335343,0.8239316239316239,0.8171797325481537,0.8885521885521885,0.02532664329934151,3.061417699995218
decision_tree,0.7801020408163266,0.7814811532553468,0.8321937321937323,0.804037786774629,0.7751877751877752,0.02913893921593075,0.1057237999921199
