model_name,accuracy,precision,recall,f1,roc_auc,roc_auc_std,cv_time_seconds
lightgbm,0.7336059828694257,0.7521163237148161,0.6925876176776928,0.7211093914987465,0.799006540071836,0.006337000671541729,5.67
logistic_regression,0.726857133184476,0.7529627896539542,0.6708851477956207,0.7095323204950235,0.7907896671295855,0.006370221404960673,3.79
xgboost,0.7250780803420646,0.7416558819949775,0.6862306161527288,0.7128565624319578,0.7865756206639285,0.006754133358148009,4.44
random_forest,0.7098601462526705,0.7132972547745661,0.6965496522391705,0.7048090561012101,0.7684914637336068,0.005288216691086821,24.57
